Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.8679245283018868,0.8579710144927537,0.8579710144927536,0.8664618984934913,0.05636096000671387
NuSVC,0.8301886792452831,0.8347826086956522,0.8347826086956522,0.8309182660154429,0.006500720977783203
DecisionTreeClassifier,0.8113207547169812,0.8130434782608695,0.8130434782608696,0.81199848189113,0.007231235504150391
RandomForestClassifier,0.8113207547169812,0.8130434782608695,0.8130434782608696,0.81199848189113,0.07614588737487793
BaggingClassifier,0.8113207547169812,0.8079710144927537,0.8079710144927535,0.8113207547169812,0.02017354965209961
QuadraticDiscriminantAnalysis,0.8113207547169812,0.7927536231884058,0.7927536231884058,0.8057461406518011,0.0059316158294677734
ExtraTreeClassifier,0.7924528301886793,0.786231884057971,0.786231884057971,0.7918479568340379,0.0052738189697265625
LabelPropagation,0.7735849056603774,0.7847826086956522,0.7847826086956521,0.7740686985970004,0.0060939788818359375
LabelSpreading,0.7735849056603774,0.7847826086956522,0.7847826086956521,0.7740686985970004,0.005507946014404297
XGBClassifier,0.7735849056603774,0.7797101449275362,0.7797101449275363,0.7745552560646901,0.13673925399780273
KNeighborsClassifier,0.7358490566037735,0.7565217391304347,0.7565217391304349,0.7330188679245283,0.008684635162353516
LinearDiscriminantAnalysis,0.7358490566037735,0.7514492753623188,0.7514492753623188,0.7350964898134709,0.007356882095336914
LinearSVC,0.7169811320754716,0.7297101449275363,0.7297101449275363,0.7169811320754716,0.006163120269775391
RidgeClassifier,0.7169811320754716,0.7297101449275363,0.7297101449275363,0.7169811320754716,0.00599980354309082
AdaBoostClassifier,0.6981132075471698,0.7181159420289855,0.7181159420289855,0.694878706199461,0.054709434509277344
LogisticRegression,0.6981132075471698,0.7079710144927536,0.7079710144927536,0.6987582647960007,0.009507179260253906
LGBMClassifier,0.6981132075471698,0.7079710144927536,0.7079710144927536,0.6987582647960007,0.027081727981567383
SVC,0.7169811320754716,0.7043478260869566,0.7043478260869566,0.7138469253431955,0.005857229232788086
RidgeClassifierCV,0.6981132075471698,0.7028985507246377,0.7028985507246377,0.6994070080862534,0.006143331527709961
CalibratedClassifierCV,0.6792452830188679,0.686231884057971,0.686231884057971,0.6803887935963407,0.01862025260925293
NearestCentroid,0.6792452830188679,0.681159420289855,0.6811594202898551,0.6806233913625033,0.006367206573486328
SGDClassifier,0.660377358490566,0.6797101449275362,0.6797101449275362,0.6567385444743935,0.005505800247192383
PassiveAggressiveClassifier,0.660377358490566,0.6746376811594204,0.6746376811594202,0.6594097726173199,0.003130197525024414
GaussianNB,0.660377358490566,0.6594202898550725,0.6594202898550726,0.6615972674040338,0.005505800247192383
BernoulliNB,0.5849056603773585,0.567391304347826,0.567391304347826,0.5781109613656783,0.006505012512207031
Perceptron,0.5283018867924528,0.5173913043478261,0.517391304347826,0.5269271746228134,0.007026195526123047
DummyClassifier,0.5660377358490566,0.5,0.5,0.40918390543305294,0.005400419235229492
