variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
dietary_habit,-0.159,-0.064,-0.148,0.223,0.117,0.393,-0.019,0.491,0.308,-0.466,0.327,-0.011,0.062,-0.214,-0.1,-0.054,-0.006,0.011,0.042,-0.048,0.058
nicotine_use,0.09,-0.051,0.038,0.486,0.188,-0.001,0.306,0.4,-0.255,0.367,0.056,-0.054,-0.139,0.288,0.056,0.127,0.258,0.207,-0.065,-0.081,0.122
work_hours,0.057,-0.097,0.196,0.282,-0.325,-0.115,0.579,-0.225,0.31,0.023,0.076,-0.059,-0.2,-0.35,0.138,-0.086,-0.206,0.076,0.14,0.004,0.043
AP1,-0.285,-0.169,-0.057,0.326,-0.045,-0.175,-0.137,-0.041,0.211,-0.021,-0.2,-0.22,0.315,0.443,-0.085,-0.21,-0.36,0.225,0.065,0.247,0.051
AP2,-0.315,-0.254,-0.184,0.154,0.026,-0.127,-0.046,-0.24,-0.128,-0.195,-0.076,0.152,0.163,-0.031,0.388,0.121,0.082,0.035,-0.004,-0.628,0.159
AP3,-0.228,-0.268,-0.302,-0.04,0.066,-0.142,-0.055,-0.135,-0.024,0.008,0.348,0.285,-0.632,0.222,-0.161,0.053,-0.167,-0.068,0.059,0.14,0.046
AP4,-0.243,-0.342,-0.112,0.109,0.159,-0.275,0.13,0.018,0.097,0.019,-0.215,-0.073,0.101,-0.305,-0.154,0.178,0.318,-0.304,-0.363,0.302,-0.211
FS1,-0.159,-0.192,0.399,-0.101,-0.033,0.242,0.103,-0.208,0.286,0.184,0.327,0.156,0.299,0.323,-0.149,0.285,0.229,-0.137,0.162,-0.059,-0.098
FS2,-0.178,-0.296,0.417,-0.201,0.094,0.091,-0.093,0.111,-0.126,0.08,-0.042,-0.154,-0.089,-0.112,0.126,-0.188,-0.048,-0.205,-0.046,0.132,0.667
FS3,-0.203,-0.289,0.385,-0.19,0.155,-0.012,-0.09,0.142,-0.092,0.03,-0.015,-0.172,-0.217,-0.111,-0.044,-0.189,-0.103,0.373,-0.037,-0.252,-0.536
FP1,-0.14,-0.004,-0.214,-0.408,-0.275,-0.047,0.411,0.14,-0.201,-0.03,0.218,-0.29,0.193,0.109,-0.196,0.173,-0.235,0.09,-0.344,-0.138,0.107
FP2,-0.311,0.041,-0.302,-0.262,-0.146,-0.021,0.116,0.036,0.003,0.125,0.005,-0.186,0.003,-0.049,0.093,-0.275,0.52,0.201,0.485,0.144,0.023
SS1,-0.283,0.194,0.088,0.252,-0.262,-0.131,-0.063,0.176,-0.333,0.184,0.134,0.053,0.102,-0.097,-0.213,-0.254,-0.138,-0.523,0.198,-0.182,-0.172
SS2,-0.249,0.266,0.153,0.097,-0.349,-0.048,-0.258,0.024,0.067,-0.016,0.315,-0.062,-0.112,0.077,0.496,0.032,0.157,0.061,-0.428,0.218,-0.109
SS3,-0.294,0.239,0.215,0.158,-0.149,-0.008,-0.147,-0.105,-0.213,-0.151,-0.139,0.037,-0.089,-0.237,-0.4,0.464,0.059,0.366,0.128,0.098,0.198
sleep_duration,-0.08,-0.026,-0.266,0.164,0.159,0.501,-0.144,-0.34,-0.11,0.394,0.125,-0.415,0.003,-0.235,0.079,0.139,-0.196,-0.031,-0.004,0.041,-0.075
anxiety,-0.301,0.168,-0.101,-0.125,0.051,0.176,0.09,0.149,0.214,0.447,-0.206,0.573,0.1,-0.171,0.02,-0.119,-0.188,0.196,-0.212,-0.005,0.064
depression,-0.268,0.288,0.053,-0.151,0.237,-0.052,0.162,0.229,0.187,-0.044,-0.268,-0.19,-0.195,0.146,0.309,0.413,-0.233,-0.271,0.271,-0.013,-0.105
short_term_memory,-0.205,0.129,0.071,0.077,0.017,0.469,0.347,-0.264,-0.227,-0.332,-0.297,0.062,-0.173,0.269,-0.053,-0.279,0.122,-0.116,-0.199,0.071,-0.101
family_history,-0.092,0.202,0.107,-0.012,0.537,-0.22,0.226,-0.169,-0.286,-0.144,0.386,0.135,0.298,-0.12,0.158,-0.097,-0.122,0.123,0.08,0.279,-0.03
self_harm,-0.102,0.397,0.034,0.028,0.312,-0.218,-0.029,-0.206,0.374,0.084,0.108,-0.267,-0.152,0.034,-0.305,-0.223,0.171,-0.027,-0.222,-0.355,0.196
