Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.7368421052631579,0.728110599078341,0.7281105990783411,0.7622180451127819,0.006520748138427734
NearestCentroid,0.7368421052631579,0.728110599078341,0.7281105990783411,0.7622180451127819,0.007000923156738281
GaussianNB,0.8157894736842105,0.7211981566820276,0.7211981566820276,0.8204199022145529,0.00599980354309082
ExtraTreesClassifier,0.8947368421052632,0.7142857142857143,0.7142857142857143,0.8768740031897927,0.05203819274902344
BernoulliNB,0.7894736842105263,0.7050691244239631,0.7050691244239632,0.7991228070175438,0.006001949310302734
Perceptron,0.7631578947368421,0.6889400921658986,0.6889400921658986,0.7780343180983365,0.006505489349365234
LogisticRegression,0.7631578947368421,0.6889400921658986,0.6889400921658986,0.7780343180983365,0.010508060455322266
PassiveAggressiveClassifier,0.7368421052631579,0.6728110599078341,0.6728110599078341,0.7570074611816898,0.00550389289855957
XGBClassifier,0.7894736842105263,0.6497695852534562,0.6497695852534562,0.7894736842105263,0.1237180233001709
RidgeClassifier,0.7894736842105263,0.6497695852534562,0.6497695852534562,0.7894736842105263,0.005997896194458008
ExtraTreeClassifier,0.7631578947368421,0.6336405529953917,0.6336405529953918,0.7691113028472821,0.006000041961669922
RandomForestClassifier,0.8421052631578947,0.6267281105990783,0.6267281105990783,0.8153110047846889,0.07676076889038086
LabelPropagation,0.7368421052631579,0.6175115207373272,0.6175115207373272,0.7489035087719299,0.00550389289855957
LabelSpreading,0.7368421052631579,0.6175115207373272,0.6175115207373272,0.7489035087719299,0.007001399993896484
LinearDiscriminantAnalysis,0.7368421052631579,0.6175115207373272,0.6175115207373272,0.7489035087719299,0.005519866943359375
SGDClassifier,0.6842105263157895,0.5852534562211982,0.5852534562211982,0.7084089534180279,0.005729198455810547
AdaBoostClassifier,0.6842105263157895,0.5852534562211982,0.5852534562211982,0.7084089534180279,0.051894426345825195
RidgeClassifierCV,0.7631578947368421,0.5783410138248848,0.5783410138248848,0.7559282822440716,0.007688045501708984
LGBMClassifier,0.7631578947368421,0.5783410138248848,0.5783410138248848,0.7559282822440716,0.0228579044342041
DecisionTreeClassifier,0.7105263157894737,0.5460829493087558,0.5460829493087557,0.7178027034800115,0.011480331420898438
BaggingClassifier,0.7368421052631579,0.5069124423963134,0.5069124423963133,0.7190241228070176,0.018373727798461914
QuadraticDiscriminantAnalysis,0.8157894736842105,0.5,0.5,0.7330282227307399,0.0
KNeighborsClassifier,0.8157894736842105,0.5,0.5,0.7330282227307399,0.008493900299072266
DummyClassifier,0.8157894736842105,0.5,0.5,0.7330282227307399,0.0085906982421875
SVC,0.8157894736842105,0.5,0.5,0.7330282227307399,0.006001472473144531
CalibratedClassifierCV,0.8157894736842105,0.5,0.5,0.7330282227307399,0.013893365859985352
