variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
dietary_habit,-0.177,0.083,0.199,0.148,0.09,-0.417,0.0,-0.46,-0.068,-0.471,0.419,-0.136,0.04,0.014,-0.261,-0.068,0.065,-0.049,-0.011,0.02,0.064
nicotine_use,0.058,0.142,0.4,0.336,-0.002,0.14,0.103,-0.221,0.456,0.217,0.106,-0.124,-0.18,0.003,0.316,0.286,0.135,0.245,-0.175,-0.032,0.14
work_hours,0.044,-0.011,0.16,0.219,-0.287,0.336,0.616,-0.003,-0.28,0.02,0.044,-0.022,-0.247,0.079,-0.31,-0.229,-0.212,0.005,-0.052,0.066,0.03
AP1,-0.318,0.006,0.33,0.03,-0.115,0.065,-0.094,-0.054,-0.146,0.008,0.03,0.346,0.383,-0.249,0.303,-0.103,-0.39,0.149,-0.003,0.364,-0.007
AP2,-0.326,-0.134,0.308,-0.07,-0.053,-0.026,-0.039,0.238,-0.055,-0.202,-0.24,-0.024,0.142,0.398,0.026,-0.003,-0.075,0.042,-0.345,-0.514,0.206
AP3,-0.243,-0.258,0.239,-0.18,0.103,0.044,-0.143,0.19,-0.179,-0.067,0.015,-0.45,-0.466,-0.278,0.063,0.278,-0.186,-0.143,0.133,0.15,0.077
AP4,-0.244,-0.254,0.365,-0.057,0.129,0.208,0.067,-0.078,-0.021,0.063,-0.115,0.229,0.049,0.067,-0.156,0.003,0.563,-0.007,0.441,-0.013,-0.236
FS1,-0.171,-0.256,-0.235,0.342,-0.043,-0.073,0.249,0.094,-0.273,0.165,0.169,-0.237,0.392,0.063,0.189,0.365,0.195,-0.22,-0.163,0.088,-0.143
FS2,-0.154,-0.37,-0.244,0.38,-0.023,0.023,-0.183,-0.028,0.109,0.086,-0.045,0.089,-0.063,0.021,-0.041,-0.239,0.061,-0.038,0.184,0.102,0.676
FS3,-0.18,-0.383,-0.2,0.311,0.091,0.076,-0.2,-0.082,0.113,-0.011,0.096,0.116,-0.242,-0.159,-0.078,-0.137,-0.182,0.244,-0.217,-0.253,-0.525
FP1,-0.13,-0.225,-0.177,-0.39,-0.135,0.017,0.345,0.069,0.336,-0.015,0.416,0.105,0.154,-0.136,-0.095,0.243,-0.162,0.226,0.213,-0.229,0.157
FP2,-0.297,-0.089,-0.107,-0.405,-0.05,-0.057,0.156,-0.046,0.157,0.097,0.124,0.012,-0.222,0.078,0.191,-0.361,0.309,-0.087,-0.462,0.328,-0.014
SS1,-0.264,0.256,0.048,0.053,-0.35,0.174,-0.182,-0.026,0.287,0.208,0.114,-0.196,0.127,-0.159,-0.09,-0.201,-0.062,-0.561,0.108,-0.252,-0.117
SS2,-0.223,0.251,-0.196,0.027,-0.385,0.057,-0.212,0.058,-0.217,-0.051,0.232,-0.113,-0.198,0.406,0.265,-0.017,0.085,0.362,0.331,0.005,-0.097
SS3,-0.279,0.272,-0.148,0.089,-0.233,0.119,-0.128,0.172,0.091,-0.19,-0.185,0.148,-0.027,-0.204,-0.465,0.389,0.209,0.148,-0.257,0.241,0.055
sleep_duration,-0.13,0.15,0.175,0.111,0.143,-0.513,0.003,0.372,-0.017,0.531,0.202,0.221,-0.166,0.135,-0.253,0.013,-0.102,0.01,0.036,0.032,-0.024
anxiety,-0.298,0.106,-0.137,-0.111,0.141,-0.107,0.124,-0.349,-0.021,0.348,-0.401,-0.441,0.178,-0.038,-0.184,-0.096,-0.117,0.357,0.078,-0.006,0.004
depression,-0.277,0.148,-0.221,-0.028,0.27,0.129,0.115,-0.352,0.024,-0.007,-0.116,0.338,-0.228,0.337,0.09,0.334,-0.294,-0.348,0.062,0.014,0.0
short_term_memory,-0.197,0.178,-0.104,0.222,0.009,-0.333,0.414,0.241,0.164,-0.312,-0.311,0.049,-0.141,-0.285,0.328,-0.141,0.072,-0.032,0.228,-0.111,-0.078
family_history,-0.098,0.137,-0.027,0.121,0.499,0.321,0.033,0.372,0.302,-0.206,0.173,-0.243,0.203,0.251,-0.09,-0.18,-0.117,0.052,0.069,0.266,-0.076
self_harm,-0.137,0.327,-0.103,-0.017,0.385,0.275,0.012,0.029,-0.399,0.107,0.261,0.102,-0.033,-0.357,0.098,-0.094,0.206,0.075,-0.116,-0.356,0.234
