,gender,age,study_year,living_situation,dietary_habit,nicotine_use,work_hours,AP1,AP2,AP3,AP4,FS1,FS2,FS3,FP1,FP2,SS1,SS2,SS3,sleep_duration,anxiety,depression,short_term_memory,family_history,self_harm,intent_to_quit
count,124,124,124.0,124,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
unique,3,3,,4,,,,,,,,,,,,,,,,,,,,,,
top,Male,18-19,,On-campus Dorm,,,,,,,,,,,,,,,,,,,,,,
freq,82,58,,60,,,,,,,,,,,,,,,,,,,,,,
mean,,,2.4919354838709675,,2.661290322580645,1.3225806451612903,1.685483870967742,3.185483870967742,3.6129032258064515,3.9596774193548385,3.338709677419355,3.161290322580645,2.806451612903226,2.629032258064516,3.217741935483871,3.3548387096774195,2.8629032258064515,2.338709677419355,2.8306451612903225,2.0161290322580645,3.4838709677419355,2.4193548387096775,3.314516129032258,1.9193548387096775,1.6451612903225807,1.6290322580645162
std,,,1.322082415926865,,1.1034837426587174,1.093576121392965,1.2255208647679736,1.0150648622302354,1.2474994658868128,1.0849989213466378,1.2022140602799714,1.1432879185144191,1.1453505825681702,1.0779968017772663,1.0862068247781347,1.3263652171333074,1.1429150963163814,1.0506451504198304,1.1806142413536125,1.1824177447301418,1.9484572632707526,1.9216218344647948,1.1288308613600522,1.2852937672718165,1.477162454459008,1.3583092188122359
min,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,,,1.0,,2.5,1.0,1.0,3.0,3.0,3.0,2.75,3.0,2.0,2.0,3.0,2.75,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
50%,,,2.0,,3.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0
75%,,,4.0,,3.0,1.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,1.0,1.0
max,,,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
