Timestamp,Choose your gender,Age,Your current year of Study,Living Situation,  Dietary Habit  ,Do you use or have you ever used Nicotine?,Part-time working hours per week,  Academic Pressure   [I feel exhausted by the amount of coursework I have.],  Academic Pressure   [I often feel stressed before or during exams.],  Academic Pressure   [I worry that I will not meet my academic expectations.],  Academic Pressure   [I feel I need to reduce my sleep and entertainment time to keep up with my studies.],  Financial Stress   [I worry about having enough money to cover my basic living expenses.],  Financial Stress   [My family has difficulty affording my tuition and university fees.],  Financial Stress   [My family is currently facing financial difficulties.],Family Pressure [My family has very high expectations for my academic performance.],Family Pressure [I feel stressed because my grades might disappoint my family.],  Study Satisfaction   [I am not satisfied with what I am learning in my program.],  Study Satisfaction   [I often regret choosing my current major/program.],  Study Satisfaction   [I do not feel fully satisfied with my experience at this university],  Sleep Duration(hours)  ,Do you have Anxiety?,Do you have Depression?,"Have you had problems with Short-term Memory (e.g., forgetting recent conversations, misplacing items, or what you just studied)?  ",  Family history of mental illness  ,Self-harm or Suicidal Ideation (last 12 months) ,"Have you ever seriously considered leaving university (e.g., taking a leave of absence for ≥1 semester or permanently withdrawing)?  "
11/24/2025 1:41:28,Male,20-22,4,With parents/relatives,Moderate,No,None,Agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,5–6,Yes — suspected/undocumented,No,4,No,No,No
11/24/2025 10:25:06,Male,20-22,4,With parents/relatives,Moderate,No,1–8,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly disagree,Disagree,Neutral,7–8,No,No,4,Unsure,No,No
11/24/2025 10:27:34,Male,20-22,4,With parents/relatives,Moderate,No,None,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,>8,No,No,4,Unsure,No,No
11/24/2025 10:30:22,Male,20-22,4,With parents/relatives,Healthy (mostly balanced meals),No,20+,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,7–8,No,No,3,No,No,No
11/24/2025 10:34:55,Male,20-22,4,With parents/relatives,Moderate,No,1–8,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,2,Unsure,No,No
11/24/2025 10:38:05,Male,20-22,4,On-campus Dorm,Moderate,No,None,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,1,No,Yes,No
11/24/2025 14:17:29,Female,23+,4,With parents/relatives,Unhealthy (frequent fast/processed foods),No,None,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,>8,No,No,4,Unsure,No,No
11/24/2025 14:38:39,Male,20-22,4,With parents/relatives,Moderate,No,1–8,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,2,No,Yes,No
11/24/2025 14:39:15,Male,23+,4,Shared apartment/house (roommates),Moderate,Yes,None,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,7–8,No,No,2,No,No,No
11/24/2025 14:55:02,Male,20-22,4,With parents/relatives,Moderate,No,20+,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,7–8,No,No,3,No,No,No
11/24/2025 14:57:07,Male,23+,4,Shared apartment/house (roommates),Moderate,No,1–8,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,7–8,Yes — diagnosed by a professional,Yes — diagnosed by a professional,4,Yes,Yes,Yes
11/24/2025 15:02:57,Male,23+,4,With parents/relatives,Unhealthy (frequent fast/processed foods),Yes,20+,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,7–8,No,No,5,No,No,>= 1 semester
